,state_smooth
2025-05-08 11:04:49.122,working
2025-05-08 11:04:50.224,working
2025-05-08 11:04:51.335,working
2025-05-08 11:04:52.444,working
2025-05-08 11:04:53.554,working
2025-05-08 11:04:54.665,working
2025-05-08 11:04:55.774,working
2025-05-08 11:04:56.885,working
2025-05-08 11:04:57.972,working
2025-05-08 11:04:59.693,working
2025-05-08 11:05:00.792,working
2025-05-08 11:05:01.901,working
2025-05-08 11:05:03.111,working
2025-05-08 11:05:04.366,working
2025-05-08 11:05:05.475,working
2025-05-08 11:05:06.696,working
2025-05-08 11:05:07.784,working
2025-05-08 11:05:08.872,working
2025-05-08 11:05:09.984,working
2025-05-08 11:05:11.105,working
2025-05-08 11:05:12.315,working
2025-05-08 11:05:13.533,working
2025-05-08 11:05:14.632,working
2025-05-08 11:05:15.731,working
2025-05-08 11:05:16.830,working
2025-05-08 11:05:17.929,working
2025-05-08 11:05:19.138,working
2025-05-08 11:05:20.237,working
2025-05-08 11:05:21.351,working
2025-05-08 11:05:22.445,working
2025-05-08 11:05:23.556,working
2025-05-08 11:05:24.677,working
2025-05-08 11:05:25.775,working
2025-05-08 11:05:26.886,working
2025-05-08 11:05:27.998,working
2025-05-08 11:05:29.595,working
2025-05-08 11:05:30.686,working
2025-05-08 11:05:32.237,working
2025-05-08 11:05:33.436,working
2025-05-08 11:05:34.524,working
2025-05-08 11:05:35.723,working
2025-05-08 11:05:36.946,working
2025-05-08 11:05:38.144,working
2025-05-08 11:05:39.367,working
2025-05-08 11:05:40.576,working
2025-05-08 11:05:41.675,working
2025-05-08 11:05:42.863,working
2025-05-08 11:05:43.962,working
2025-05-08 11:05:45.161,working
2025-05-08 11:05:46.338,working
2025-05-08 11:05:47.416,working
2025-05-08 11:05:48.637,working
2025-05-08 11:05:49.725,working
2025-05-08 11:05:50.913,working
2025-05-08 11:05:52.025,working
2025-05-08 11:05:53.212,working
2025-05-08 11:05:54.299,working
2025-05-08 11:05:55.487,working
2025-05-08 11:05:56.696,working
2025-05-08 11:05:57.907,working
2025-05-08 11:05:59.294,working
2025-05-08 11:06:00.404,working
2025-05-08 11:06:01.593,working
2025-05-08 11:06:02.714,working
2025-05-08 11:06:03.803,working
2025-05-08 11:06:05.003,working
2025-05-08 11:06:06.117,working
2025-05-08 11:06:07.733,working
2025-05-08 11:06:08.921,working
2025-05-08 11:06:09.998,working
2025-05-08 11:06:11.087,working
2025-05-08 11:06:12.196,working
2025-05-08 11:06:13.307,working
2025-05-08 11:06:14.384,working
2025-05-08 11:06:15.596,working
2025-05-08 11:06:16.805,working
2025-05-08 11:06:17.917,working
2025-05-08 11:06:19.048,working
2025-05-08 11:06:20.115,working
2025-05-08 11:06:21.222,working
2025-05-08 11:06:22.291,working
2025-05-08 11:06:23.602,working
2025-05-08 11:06:24.789,working
2025-05-08 11:06:25.889,working
2025-05-08 11:06:27.487,working
2025-05-08 11:06:28.686,working
2025-05-08 11:06:29.785,working
2025-05-08 11:06:30.885,working
2025-05-08 11:06:32.017,working
2025-05-08 11:06:33.244,working
2025-05-08 11:06:34.315,working
2025-05-08 11:06:35.393,working
2025-05-08 11:06:36.591,working
2025-05-08 11:06:37.901,working
2025-05-08 11:06:38.989,working
2025-05-08 11:06:40.199,working
2025-05-08 11:06:41.298,working
2025-05-08 11:06:42.375,working
2025-05-08 11:06:43.574,working
2025-05-08 11:06:44.672,working
2025-05-08 11:06:45.782,working
2025-05-08 11:06:46.993,working
2025-05-08 11:06:48.230,working
2025-05-08 11:06:49.335,working
2025-05-08 11:06:50.434,working
2025-05-08 11:06:51.533,working
2025-05-08 11:06:52.632,working
2025-05-08 11:06:53.742,working
2025-05-08 11:06:54.830,working
2025-05-08 11:06:55.940,working
2025-05-08 11:06:57.139,working
2025-05-08 11:06:58.670,working
2025-05-08 11:06:59.770,working
2025-05-08 11:07:00.869,working
2025-05-08 11:07:01.946,working
2025-05-08 11:07:03.377,working
2025-05-08 11:07:04.598,working
2025-05-08 11:07:05.798,working
2025-05-08 11:07:07.334,working
2025-05-08 11:07:08.419,working
2025-05-08 11:07:09.529,working
2025-05-08 11:07:10.844,working
2025-05-08 11:07:11.939,working
2025-05-08 11:07:13.004,working
2025-05-08 11:07:14.103,working
2025-05-08 11:07:15.213,working
2025-05-08 11:07:16.312,working
2025-05-08 11:07:17.534,working
2025-05-08 11:07:18.656,working
2025-05-08 11:07:19.777,working
2025-05-08 11:07:20.888,working
2025-05-08 11:07:21.987,working
2025-05-08 11:07:23.113,working
2025-05-08 11:07:24.318,working
2025-05-08 11:07:25.806,working
2025-05-08 11:07:27.128,working
2025-05-08 11:07:28.246,working
2025-05-08 11:07:29.337,working
2025-05-08 11:07:30.525,working
2025-05-08 11:07:31.744,working
2025-05-08 11:07:32.968,working
2025-05-08 11:07:34.178,working
2025-05-08 11:07:35.283,working
2025-05-08 11:07:36.355,working
2025-05-08 11:07:37.432,working
2025-05-08 11:07:38.509,working
2025-05-08 11:07:39.620,working
2025-05-08 11:07:40.719,working
2025-05-08 11:07:41.929,working
2025-05-08 11:07:43.129,working
2025-05-08 11:07:44.327,working
2025-05-08 11:07:45.926,working
2025-05-08 11:07:47.138,working
2025-05-08 11:07:48.358,working
2025-05-08 11:07:49.457,working
2025-05-08 11:07:50.667,working
2025-05-08 11:07:51.789,working
2025-05-08 11:07:52.878,working
2025-05-08 11:07:53.987,working
2025-05-08 11:07:55.078,working
2025-05-08 11:07:56.176,working
2025-05-08 11:07:57.263,working
2025-05-08 11:07:58.364,working
2025-05-08 11:07:59.585,working
2025-05-08 11:08:01.023,working
2025-05-08 11:08:02.250,working
2025-05-08 11:08:03.471,idle
2025-05-08 11:08:04.693,idle
2025-05-08 11:08:05.792,idle
2025-05-08 11:08:06.869,idle
2025-05-08 11:08:07.968,idle
2025-05-08 11:08:09.172,idle
2025-05-08 11:08:10.268,idle
2025-05-08 11:08:11.354,idle
2025-05-08 11:08:12.453,idle
2025-05-08 11:08:13.563,idle
2025-05-08 11:08:14.674,idle
2025-05-08 11:08:15.772,idle
2025-05-08 11:08:16.882,idle
2025-05-08 11:08:18.116,idle
2025-05-08 11:08:19.217,idle
2025-05-08 11:08:20.512,idle
2025-05-08 11:08:21.546,idle
2025-05-08 11:08:22.857,idle
2025-05-08 11:08:23.955,idle
2025-05-08 11:08:25.062,idle
2025-05-08 11:08:26.269,idle
2025-05-08 11:08:27.486,idle
2025-05-08 11:08:28.585,idle
2025-05-08 11:08:29.696,idle
2025-05-08 11:08:30.784,idle
2025-05-08 11:08:31.894,idle
2025-05-08 11:08:33.013,idle
2025-05-08 11:08:34.081,idle
2025-05-08 11:08:35.169,idle
2025-05-08 11:08:36.265,idle
2025-05-08 11:08:37.367,idle
2025-05-08 11:08:38.478,idle
2025-05-08 11:08:39.577,idle
2025-05-08 11:08:40.665,idle
2025-05-08 11:08:41.765,idle
2025-05-08 11:08:42.978,idle
2025-05-08 11:08:44.174,idle
2025-05-08 11:08:45.395,idle
2025-05-08 11:08:46.616,idle
2025-05-08 11:08:48.094,idle
2025-05-08 11:08:48.971,idle
2025-05-08 11:08:50.049,idle
2025-05-08 11:08:51.148,idle
2025-05-08 11:08:52.369,idle
2025-05-08 11:08:53.957,idle
2025-05-08 11:08:55.167,idle
2025-05-08 11:08:56.277,idle
2025-05-08 11:08:57.466,idle
2025-05-08 11:08:58.576,idle
2025-05-08 11:08:59.686,idle
2025-05-08 11:09:00.796,idle
2025-05-08 11:09:01.907,idle
2025-05-08 11:09:03.006,idle
2025-05-08 11:09:04.111,idle
2025-05-08 11:09:05.592,idle
2025-05-08 11:09:06.803,idle
2025-05-08 11:09:07.912,idle
2025-05-08 11:09:09.019,idle
2025-05-08 11:09:10.126,idle
2025-05-08 11:09:11.298,idle
2025-05-08 11:09:12.397,idle
2025-05-08 11:09:13.618,idle
2025-05-08 11:09:14.717,idle
2025-05-08 11:09:15.806,idle
2025-05-08 11:09:16.993,idle
2025-05-08 11:09:18.203,idle
2025-05-08 11:09:19.402,idle
2025-05-08 11:09:20.468,idle
2025-05-08 11:09:21.567,idle
2025-05-08 11:09:22.666,idle
2025-05-08 11:09:23.865,idle
2025-05-08 11:09:24.975,idle
2025-05-08 11:09:26.108,idle
2025-05-08 11:09:27.208,idle
2025-05-08 11:09:28.539,idle
2025-05-08 11:09:29.971,idle
2025-05-08 11:09:31.060,idle
2025-05-08 11:09:32.269,idle
