,mean,std,energy,median,max,min,ptp,cluster,state,rolling_energy_max,rolling_energy_min,rolling_std_max,rolling_std_min,cluster_smooth,state_smooth
2025-05-08 11:17:55.908,-6.304620796585669e-06,0.03362572924766484,5.652317846260093,-0.0003373327959575237,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.688360229893977,5.652317846260093,0.03373276391026585,0.03362572924766484,1,off
2025-05-08 11:17:57.027,-6.104759542857452e-06,0.03357541920282472,5.635416750792853,-0.000329368534309665,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.676559873801571,5.635416750792853,0.03369776064578149,0.03357541920282472,1,off
2025-05-08 11:17:58.132,5.7679800949670867e-05,0.03348118760926706,5.603845263508153,-0.00030563021165678757,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.666896684107078,5.603845263508153,0.03366905390540793,0.03348118760926706,1,off
2025-05-08 11:17:59.323,4.173631169375646e-05,0.03341392427667513,5.581343897099899,-0.00031062350021659595,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.659181521379326,5.581343897099899,0.03364612524304123,0.03341392427667513,1,off
2025-05-08 11:18:00.424,2.4268416088832567e-06,0.033377563505613425,5.569194695558515,-0.0003251785336626433,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.652317846260093,5.569194695558515,0.03362572924766484,0.033377563505613425,1,off
2025-05-08 11:18:01.634,2.3683712542104008e-05,0.03334863398950454,5.559547618031921,-0.00031828565399983017,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.635416750792853,5.559547618031921,0.03357541920282472,0.03334863398950454,1,off
2025-05-08 11:18:02.745,1.2206682568064408e-05,0.03330735775334768,5.545791767482436,-0.00030674530534373606,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.603845263508153,5.545791767482436,0.03348118760926706,0.03330735775334768,1,off
2025-05-08 11:18:03.943,3.1572334864549266e-05,0.033275055151271556,5.5350442313671415,-0.0002988638939283995,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.581343897099899,5.5350442313671415,0.03341392427667513,0.033275055151271556,1,off
2025-05-08 11:18:05.153,3.0970728038883964e-05,0.03326379331127329,5.53129804326007,-0.00029741375077815303,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.569194695558515,5.53129804326007,0.033377563505613425,0.03326379331127329,1,off
2025-05-08 11:18:06.828,-1.194414203920202e-06,0.03323599927362071,5.522053614065992,-0.0002988638939283995,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.559547618031921,5.522053614065992,0.03334863398950454,0.03323599927362071,1,off
