,state_smooth
2025-05-08 13:29:54.500,idle
2025-05-08 13:29:55.000,idle
2025-05-08 13:29:55.500,idle
2025-05-08 13:29:56.000,idle
2025-05-08 13:29:56.500,idle
2025-05-08 13:29:57.000,idle
2025-05-08 13:29:57.500,idle
2025-05-08 13:29:58.000,idle
2025-05-08 13:29:58.500,idle
2025-05-08 13:29:59.000,idle
2025-05-08 13:29:59.500,idle
2025-05-08 13:30:00.000,idle
2025-05-08 13:30:00.500,idle
2025-05-08 13:30:01.000,idle
2025-05-08 13:30:01.500,idle
2025-05-08 13:30:02.000,idle
2025-05-08 13:30:02.500,idle
2025-05-08 13:30:03.000,idle
2025-05-08 13:30:03.500,idle
2025-05-08 13:30:04.000,idle
2025-05-08 13:30:04.500,idle
2025-05-08 13:30:05.000,idle
2025-05-08 13:30:05.500,idle
2025-05-08 13:30:06.000,idle
2025-05-08 13:30:06.500,idle
2025-05-08 13:30:07.000,idle
2025-05-08 13:30:07.500,idle
2025-05-08 13:30:08.000,idle
2025-05-08 13:30:08.500,idle
2025-05-08 13:30:09.000,idle
2025-05-08 13:30:09.500,idle
2025-05-08 13:30:10.000,idle
2025-05-08 13:30:10.500,idle
2025-05-08 13:30:11.000,idle
2025-05-08 13:30:11.500,idle
2025-05-08 13:30:12.000,idle
2025-05-08 13:30:12.500,idle
2025-05-08 13:30:13.000,idle
2025-05-08 13:30:13.500,idle
2025-05-08 13:30:14.000,idle
2025-05-08 13:30:14.500,idle
2025-05-08 13:30:15.000,idle
2025-05-08 13:30:15.500,idle
2025-05-08 13:30:16.000,idle
2025-05-08 13:30:16.500,idle
2025-05-08 13:30:17.000,idle
2025-05-08 13:30:17.500,idle
2025-05-08 13:30:18.000,idle
2025-05-08 13:30:18.500,idle
2025-05-08 13:30:19.000,idle
2025-05-08 13:30:19.500,idle
2025-05-08 13:30:20.000,idle
2025-05-08 13:30:20.500,idle
2025-05-08 13:30:21.000,idle
2025-05-08 13:30:21.500,idle
2025-05-08 13:30:22.000,idle
2025-05-08 13:30:22.500,idle
2025-05-08 13:30:23.000,idle
2025-05-08 13:30:23.500,idle
2025-05-08 13:30:24.000,idle
2025-05-08 13:30:24.500,idle
2025-05-08 13:30:25.000,idle
2025-05-08 13:30:25.500,idle
2025-05-08 13:30:26.000,idle
2025-05-08 13:30:26.500,idle
2025-05-08 13:30:27.000,idle
2025-05-08 13:30:27.500,idle
2025-05-08 13:30:28.000,idle
2025-05-08 13:30:28.500,idle
2025-05-08 13:30:29.000,idle
2025-05-08 13:30:29.500,idle
2025-05-08 13:30:30.000,idle
2025-05-08 13:30:30.500,idle
2025-05-08 13:30:31.000,idle
2025-05-08 13:30:31.500,idle
2025-05-08 13:30:32.000,idle
2025-05-08 13:30:32.500,idle
2025-05-08 13:30:33.000,idle
2025-05-08 13:30:33.500,idle
2025-05-08 13:30:34.000,idle
2025-05-08 13:30:34.500,idle
2025-05-08 13:30:35.000,idle
2025-05-08 13:30:35.500,idle
2025-05-08 13:30:36.000,idle
2025-05-08 13:30:36.500,idle
2025-05-08 13:30:37.000,idle
2025-05-08 13:30:37.500,idle
2025-05-08 13:30:38.000,idle
2025-05-08 13:30:38.500,idle
2025-05-08 13:30:39.000,idle
2025-05-08 13:30:39.500,idle
2025-05-08 13:30:40.000,idle
2025-05-08 13:30:40.500,idle
2025-05-08 13:30:41.000,idle
2025-05-08 13:30:41.500,idle
2025-05-08 13:30:42.000,idle
2025-05-08 13:30:42.500,idle
2025-05-08 13:30:43.000,idle
2025-05-08 13:30:43.500,idle
2025-05-08 13:30:44.000,idle
2025-05-08 13:30:44.500,idle
2025-05-08 13:30:45.000,idle
2025-05-08 13:30:45.500,idle
2025-05-08 13:30:46.000,idle
2025-05-08 13:30:46.500,idle
2025-05-08 13:30:47.000,idle
2025-05-08 13:30:47.500,idle
2025-05-08 13:30:48.000,idle
2025-05-08 13:30:48.500,idle
2025-05-08 13:30:49.000,idle
2025-05-08 13:30:49.500,idle
2025-05-08 13:30:50.000,idle
2025-05-08 13:30:50.500,idle
2025-05-08 13:30:51.000,idle
2025-05-08 13:30:51.500,idle
2025-05-08 13:30:52.000,idle
2025-05-08 13:30:52.500,idle
2025-05-08 13:30:53.000,idle
2025-05-08 13:30:53.500,idle
2025-05-08 13:30:54.000,idle
2025-05-08 13:30:54.500,idle
2025-05-08 13:30:55.000,idle
2025-05-08 13:30:55.500,idle
2025-05-08 13:30:56.000,idle
2025-05-08 13:30:56.500,idle
2025-05-08 13:30:57.000,idle
2025-05-08 13:30:57.500,idle
2025-05-08 13:30:58.000,idle
2025-05-08 13:30:58.500,idle
2025-05-08 13:30:59.000,idle
2025-05-08 13:30:59.500,idle
2025-05-08 13:31:00.000,idle
2025-05-08 13:31:00.500,idle
2025-05-08 13:31:01.000,idle
2025-05-08 13:31:01.500,idle
2025-05-08 13:31:02.000,idle
2025-05-08 13:31:02.500,idle
2025-05-08 13:31:03.000,idle
2025-05-08 13:31:03.500,idle
2025-05-08 13:31:04.000,idle
2025-05-08 13:31:04.500,idle
2025-05-08 13:31:05.000,idle
2025-05-08 13:31:05.500,idle
2025-05-08 13:31:06.000,idle
2025-05-08 13:31:06.500,idle
2025-05-08 13:31:07.000,idle
2025-05-08 13:31:07.500,idle
2025-05-08 13:31:08.000,idle
2025-05-08 13:31:08.500,idle
2025-05-08 13:31:09.000,idle
2025-05-08 13:31:09.500,idle
2025-05-08 13:31:10.000,idle
2025-05-08 13:31:10.500,idle
2025-05-08 13:31:11.000,idle
2025-05-08 13:31:11.500,idle
2025-05-08 13:31:12.000,idle
2025-05-08 13:31:12.500,idle
2025-05-08 13:31:13.000,idle
2025-05-08 13:31:13.500,idle
2025-05-08 13:31:14.000,idle
2025-05-08 13:31:14.500,idle
2025-05-08 13:31:15.000,idle
2025-05-08 13:31:15.500,idle
2025-05-08 13:31:16.000,idle
2025-05-08 13:31:16.500,idle
2025-05-08 13:31:17.000,idle
2025-05-08 13:31:17.500,idle
2025-05-08 13:31:18.000,idle
2025-05-08 13:31:18.500,idle
2025-05-08 13:31:19.000,idle
2025-05-08 13:31:19.500,idle
2025-05-08 13:31:20.000,idle
2025-05-08 13:31:20.500,idle
2025-05-08 13:31:21.000,idle
2025-05-08 13:31:21.500,idle
2025-05-08 13:31:22.000,idle
2025-05-08 13:31:22.500,idle
2025-05-08 13:31:23.000,idle
2025-05-08 13:31:23.500,idle
2025-05-08 13:31:24.000,idle
2025-05-08 13:31:24.500,idle
2025-05-08 13:31:25.000,idle
2025-05-08 13:31:25.500,idle
2025-05-08 13:31:26.000,idle
2025-05-08 13:31:26.500,idle
2025-05-08 13:31:27.000,idle
2025-05-08 13:31:27.500,idle
